Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2021,Centro,Mujeres,50-59 años,9,1314
2021,Sur-Metán,Mujeres,50-59 años,9,104
2021,Norte-Orán,Mujeres,50-59 años,9,130
2021,Norte-Tartagal,Mujeres,50-59 años,9,173
2022,Sur-Anta,Mujeres,50-59 años,9,19
2022,Centro,Mujeres,50-59 años,9,1264
2022,Sur-Metán,Mujeres,50-59 años,9,115
2022,Norte-Orán,Mujeres,50-59 años,9,135
2022,Norte-Tartagal,Mujeres,50-59 años,9,213
2020,Centro,Mujeres,6-10 años,2,131
2020,Sur-Metán,Mujeres,6-10 años,2,38
2020,Norte-Orán,Mujeres,6-10 años,2,57
2020,Norte-Tartagal,Mujeres,6-10 años,2,59
2021,Sur-Anta,Mujeres,6-10 años,2,5
2021,Centro,Mujeres,6-10 años,2,637
2021,Sur-Metán,Mujeres,6-10 años,2,70
2021,Norte-Orán,Mujeres,6-10 años,2,79
2021,Norte-Tartagal,Mujeres,6-10 años,2,88
2022,Sur-Anta,Mujeres,6-10 años,2,19
2022,Centro,Mujeres,6-10 años,2,760
2022,Sur-Metán,Mujeres,6-10 años,2,64
2022,Norte-Orán,Mujeres,6-10 años,2,83
2022,Norte-Tartagal,Mujeres,6-10 años,2,118
2020,Centro,Mujeres,60-74 años,10,747
2020,Sur-Metán,Mujeres,60-74 años,10,40
2020,Norte-Orán,Mujeres,60-74 años,10,60
2020,Norte-Tartagal,Mujeres,60-74 años,10,83
2021,Sur-Anta,Mujeres,60-74 años,10,8
2021,Centro,Mujeres,60-74 años,10,1033
2021,Sur-Metán,Mujeres,60-74 años,10,74
2021,Norte-Orán,Mujeres,60-74 años,10,86
2021,Norte-Tartagal,Mujeres,60-74 años,10,118
2022,Sur-Anta,Mujeres,60-74 años,10,15
2022,Centro,Mujeres,60-74 años,10,936
2022,Sur-Metán,Mujeres,60-74 años,10,58
2022,Norte-Orán,Mujeres,60-74 años,10,102
2022,Norte-Tartagal,Mujeres,60-74 años,10,128
2020,Centro,Mujeres,Más de 74 años,11,264
2020,Sur-Metán,Mujeres,Más de 74 años,11,21
2020,Norte-Orán,Mujeres,Más de 74 años,11,17
2020,Norte-Tartagal,Mujeres,Más de 74 años,11,24
2021,Sur-Anta,Mujeres,Más de 74 años,11,4
2021,Centro,Mujeres,Más de 74 años,11,370
2021,Sur-Metán,Mujeres,Más de 74 años,11,26
2021,Norte-Orán,Mujeres,Más de 74 años,11,22
2021,Norte-Tartagal,Mujeres,Más de 74 años,11,32
2022,Sur-Anta,Mujeres,Más de 74 años,11,14
2022,Centro,Mujeres,Más de 74 años,11,370
2022,Sur-Metán,Mujeres,Más de 74 años,11,23
2022,Norte-Orán,Mujeres,Más de 74 años,11,15
2022,Norte-Tartagal,Mujeres,Más de 74 años,11,32
2020,Centro,Mujeres,Sin especificar,12,403
2020,Sur-Metán,Mujeres,Sin especificar,12,102
